FIELD LABELS,dieharder,hoard
num_sbrk,0.0,0.0
size_sbrk,0.0,0.0
cycles_alloc,2294133509.0,2096424246.5
cycles_allocFFL,82515.3333333,70927.5
cycles_free,3291280844.67,2471157959.0
NEW ALLOCATIONS
allocation cycles,9976.96666667,9116.9
allocation faults,0.0,0.0
allocation tlb read misses,0.0333333333333,0.0
allocation tlb write misses,0.0666666666667,0.05
allocation cache misses,0.133333333333,0.05
num allocation instr,32.7,51.15
FREELIST ALLOCATIONS
allocation cycles,41257.6666667,35463.75
allocation faults,0.0,0.0
allocation tlb read misses,0.0,0.0
allocation tlb write misses,0.0,0.0
allocation cache misses,0.0,0.0
num allocation instr,0.0,0.0
DEALLOCATIONS
deallocation cycles,14314.6666667,10747.5
deallocation faults,0.0,0.0
deallocation tlb read misses,0.1,0.05
deallocation tlb write misses,0.0,0.0
deallocation cache misses,0.2,0.1
num deallocation instr,67.7,50.6
LOCK TOTALS
num pthread mutex locks,4.0,2.0
num pthread trylocks,0.0,0.0
num pthread spin locks,0.0,0.0
num pthread spin trylocks,0.0,0.0
Thread Contention
mutex_waits,2006611.0,0.0
mutex_wait_cycles,82.1666666667,0.0
mutex_trylock_waits,0.0,0.0
mutex_trylock_fails,0.0,0.0
spinlock_waits,0.0,0.0
spinlock_wait_cycles,0.0,0.0
spin_trylock_waits,0.0,0.0
spin_trylock_fails,0.0,0.0
mmap_waits,20656.0,65.0
mmap_wait_cycles,823.666666667,186554.6
sbrk_wait_cycles,0.0,0.0
madvise_waits,0.0,0.0
madvise_wait_cycles,0.0,0.0
munmap_waits,17.0,23.0
munmap_wait_cycles,248224.733333,110723.3
mremap_waits,0.0,0.0
mremap_wait_cycles,0.0,0.0
mprotect_waits,0.0,0.0
mprotect_wait_cycle,0.0,0.0
critical_section_counter,459869.0,0.0
critical_section_duration,3961.5,0.0
Total Memory Usage
maxRealMemoryUsage,424125169.333,424118996.0
maxRealAllocMemoryUsage,446717516.0,446743104.0
maxTotalMemoryUsage,468482730.667,446791680.0
realMemoryUsage,424125681.333,424119252.0
realAllocatedMemoryUsage,446718028.0,446743104.0
totalMemoryUsage,468520960.0,446853120.0
Detailed Lock Usage
num sampled accesses,379281.666667,385663.0
total cache bytes accessed,24273424.0,23611488.0
total page bytes accessed,1438846722.67,1480911744.0
cache line writes,175399.666667,186542.0
cache owner conflicts,0.479633333333,0.5139
avg. cache utilization,99.9976666667,95.661
avg. page utilization,92.6166666667,93.748
